VCD info: dumpfile Noc.vcd opened for output.
Node2: Message: 13 Source: 8 Arrival_Time: 508
Node5: Message: 14 Source: 1 Arrival_Time: 513
Node7: Message: 16 Source: 4 Arrival_Time: 515
Node1: Message: 13 Source: 2 Arrival_Time: 516
Node5: Message: 12 Source: 3 Arrival_Time: 519
Node0: Message: 9 Destination: 5 Departure_Time: 521
Node6: Message: 11 Source: 3 Arrival_Time: 526
Node3: Message: 13 Source: 6 Arrival_Time: 532
Node1: Message: 14 Source: 5 Arrival_Time: 533
Node4: Message: 16 Source: 1 Arrival_Time: 535
Node5: Message: 15 Source: 0 Arrival_Time: 538
Node8: Message: 10 Source: 3 Arrival_Time: 541
Node3: Message: 6 Source: 8 Arrival_Time: 541
Node3: Message: 15 Source: 2 Arrival_Time: 542
Node7: Message: 13 Source: 1 Arrival_Time: 544
Node4: Message: 14 Source: 6 Arrival_Time: 545
Node0: Message: 12 Destination: 6 Departure_Time: 568
Node8: Message: 5 Source: 0 Arrival_Time: 572
Node0: Message: 15 Source: 6 Arrival_Time: 586
Node8: Message: 14 Destination: 2 Departure_Time: 598
Node7: Message: 15 Destination: 8 Departure_Time: 599
Node7: Message: 16 Source: 6 Arrival_Time: 599
Node0: Message: 13 Source: 3 Arrival_Time: 604
Node5: Message: 8 Source: 0 Arrival_Time: 607
Node0: Message: 13 Destination: 8 Departure_Time: 617
Node3: Message: 11 Source: 5 Arrival_Time: 626
Node8: Message: 14 Source: 3 Arrival_Time: 637
Node3: Message: 10 Source: 8 Arrival_Time: 637
Node8: Message: 15 Source: 3 Arrival_Time: 642
Node5: Message: 9 Source: 0 Arrival_Time: 656
Node0: Message: 16 Destination: 7 Departure_Time: 660
Node0: Message: 14 Destination: 3 Departure_Time: 674
Node8: Message: 15 Destination: 0 Departure_Time: 679
Node7: Message: 16 Source: 3 Arrival_Time: 687
Node6: Message: 12 Source: 0 Arrival_Time: 687
Node5: Message: 10 Source: 0 Arrival_Time: 713
Node8: Message: 15 Source: 5 Arrival_Time: 714
Node2: Message: 14 Source: 8 Arrival_Time: 717
Node0: Message: 11 Source: 8 Arrival_Time: 730
Node8: Message: 13 Source: 0 Arrival_Time: 768
Node3: Message: 14 Source: 0 Arrival_Time: 777
Node7: Message: 16 Source: 0 Arrival_Time: 795
Node0: Message: 15 Source: 8 Arrival_Time: 830
